1969-12-31 16:00:15.361816 (+0.000021 s): isr_exit
1969-12-31 16:00:15.361868 (+0.000052 s): isr_enter
1969-12-31 16:00:15.361907 (+0.000038 s): isr_exit
1969-12-31 16:00:15.366890 (+0.004984 s): isr_enter
1969-12-31 16:00:15.366911 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.366929 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.366951 (+0.000021 s): isr_exit
1969-12-31 16:00:15.366999 (+0.000049 s): isr_enter
1969-12-31 16:00:15.367026 (+0.000026 s): isr_exit
1969-12-31 16:00:15.371151 (+0.004126 s): isr_enter
1969-12-31 16:00:15.371173 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.371191 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.371212 (+0.000021 s): isr_exit
1969-12-31 16:00:15.371264 (+0.000052 s): isr_enter
1969-12-31 16:00:15.371302 (+0.000038 s): isr_exit
1969-12-31 16:00:15.374673 (+0.003371 s): isr_enter
1969-12-31 16:00:15.374694 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.374712 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.374734 (+0.000021 s): isr_exit
1969-12-31 16:00:15.374782 (+0.000049 s): isr_enter
1969-12-31 16:00:15.374809 (+0.000026 s): isr_exit
1969-12-31 16:00:15.378959 (+0.004151 s): isr_enter
1969-12-31 16:00:15.378981 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.378999 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.379020 (+0.000021 s): isr_exit
1969-12-31 16:00:15.379072 (+0.000052 s): isr_enter
1969-12-31 16:00:15.379110 (+0.000038 s): isr_exit
1969-12-31 16:00:15.384820 (+0.005710 s): isr_enter
1969-12-31 16:00:15.384841 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.384860 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.384881 (+0.000021 s): isr_exit
1969-12-31 16:00:15.384930 (+0.000049 s): isr_enter
1969-12-31 16:00:15.384956 (+0.000026 s): isr_exit
1969-12-31 16:00:15.389887 (+0.004931 s): isr_enter
1969-12-31 16:00:15.389908 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.389927 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.389948 (+0.000021 s): isr_exit
1969-12-31 16:00:15.390000 (+0.000052 s): isr_enter
1969-12-31 16:00:15.390038 (+0.000038 s): isr_exit
1969-12-31 16:00:15.394219 (+0.004181 s): isr_enter
1969-12-31 16:00:15.394240 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.394258 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.394279 (+0.000021 s): isr_exit
1969-12-31 16:00:15.394328 (+0.000049 s): isr_enter
1969-12-31 16:00:15.394354 (+0.000026 s): isr_exit
1969-12-31 16:00:15.400053 (+0.005699 s): isr_enter
1969-12-31 16:00:15.400074 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.400093 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.400114 (+0.000021 s): isr_exit
1969-12-31 16:00:15.400166 (+0.000052 s): isr_enter
1969-12-31 16:00:15.400204 (+0.000038 s): isr_exit
